Time (ns),970RMSD (Å),239RMSD (Å),Substrate,14475 RMSD (Å)
1.33,1.68627,2.16303,1.57818,1.88755
1.34,1.65679,2.16124,1.61413,1.94264
1.35,1.69679,2.17466,1.69733,1.86911
1.36,1.71106,2.26635,1.67023,2.02304
1.37,1.84601,2.37808,1.70876,1.92918
1.38,1.82196,2.25991,1.81838,1.92907
1.39,1.88218,2.31541,1.80291,1.91239
1.4,1.91499,2.27968,1.75978,1.93523
1.41,1.81227,2.44442,1.57249,1.97637
1.42,1.95058,2.37947,1.64176,1.94106
1.43,1.7887,2.3119,1.62368,1.88033
1.44,1.72613,2.35015,1.6663,1.86255
1.45,1.85812,2.28497,1.70871,1.90264
1.46,1.80783,2.22469,1.69993,1.94066
1.47,1.82335,2.26388,1.67717,1.95795
1.48,1.8607,2.41259,1.65726,2.01832
1.49,1.79512,2.19264,1.73238,2.03253
1.5,1.94117,2.26124,1.80798,1.97562
1.51,1.95635,2.46808,1.6851,1.95088
1.52,1.95728,2.51673,1.67477,1.92035
1.53,1.89504,2.38399,1.69852,1.99404
1.54,1.92128,2.52392,1.67417,1.96877
1.55,1.91074,2.59235,1.63562,2.06361
1.56,2.00479,2.50578,1.65811,2.07052
1.57,1.93806,2.56739,1.73214,2.0475
1.58,2.0066,2.6441,1.81895,1.9613
1.59,2.02861,2.52537,1.78899,1.94106
1.6,1.962,2.36089,1.73986,1.95936
1.61,1.81852,2.38683,1.85857,1.92789
1.62,1.81034,2.26128,1.89694,2.04731
1.63,1.88042,2.2467,1.95556,1.95162
1.64,1.80813,2.2548,2.01252,2.00253
1.65,1.90915,2.34337,2.00837,1.94421
1.66,1.91582,2.18969,2.05279,1.99896
1.67,1.90515,2.12913,1.93102,2.04738
1.68,1.93181,2.13659,1.96183,2.07122
1.69,1.93034,2.19598,2.02417,2.04444
1.7,1.78076,2.2605,2.04879,1.98775
1.71,1.85733,2.25854,2.00252,1.96619
1.72,2.09744,2.27172,2.13544,1.84005
1.73,1.86268,2.27567,2.04322,1.88711
1.74,1.92999,2.15634,2.00497,1.86571
1.75,2.03577,2.16001,1.95654,1.92603
1.76,1.89061,2.26938,1.97177,1.90167
1.77,1.99511,2.28898,2.09753,1.88213
1.78,1.96945,2.2524,2.02518,1.87195
1.79,1.86846,2.16581,2.00464,1.81913
1.8,1.88884,2.13858,2.0303,1.95351
1.81,1.79097,2.14908,1.97729,2.0024
1.82,1.81119,2.01605,2.01529,1.96454
1.83,1.77816,2.14901,2.14771,2.02582
1.84,1.8459,2.0988,2.06608,1.98179
1.85,1.92329,2.08069,2.0238,1.95802
1.86,1.81046,2.16738,2.09668,1.9737
1.87,1.8899,2.26059,2.04027,2.03957
1.88,1.89982,2.39252,2.15361,1.9673
1.89,1.89554,2.45595,2.19208,2.04232
1.9,1.82156,2.37956,2.0297,1.94708
1.91,1.81578,2.47782,1.9653,2.00038
1.92,1.92918,2.40559,2.06618,2.05509
1.93,1.82335,2.34474,2.02874,1.86329
1.94,1.754,2.27651,1.93272,1.86177
1.95,1.7926,2.1339,1.92639,1.83775
1.96,1.79153,2.23163,1.94786,1.89792
1.97,1.77385,2.22785,2.02826,1.98791
1.98,1.75931,2.18025,1.96356,2.06321
1.99,1.80101,2.25329,2.00843,2.00503
2,1.89609,2.45187,2.05813,2.11072
2.01,1.75005,2.45962,2.11645,2.01964
2.02,1.80969,2.41132,2.15577,1.93755
2.03,1.85268,2.40872,2.07637,2.04323
2.04,1.91296,2.39662,2.25452,2.06903
2.05,1.96269,2.46811,2.0733,1.96272
2.06,2.04898,2.31434,2.11944,1.98634
2.07,1.94597,2.30155,2.08108,1.938
2.08,1.91059,2.09451,2.04461,1.9813
2.09,1.85166,2.17275,2.0478,1.91701
2.1,1.8687,2.25484,2.15365,2.05306
2.11,1.87848,2.24916,2.06416,2.04268
2.12,1.88106,2.27676,2.07435,1.95609
2.13,1.92314,2.30319,2.16705,1.89214
2.14,1.95744,2.22955,2.1768,1.86521
2.15,1.85819,2.19673,2.24729,1.95869
2.16,1.95434,2.22443,2.26907,1.93856
2.17,1.90162,2.20208,2.23249,1.88104
2.18,1.9581,2.36154,2.08837,1.97411
2.19,1.96555,2.43965,2.16753,1.969
2.2,1.91783,2.36349,2.1752,1.93541
2.21,1.9441,2.30074,2.20005,2.03374
2.22,1.90721,2.34559,2.1657,2.06158
2.23,1.97697,2.29209,2.13392,1.88957
2.24,1.98756,2.29005,2.17885,1.93804
2.25,2.08839,2.32851,2.18461,1.90871
