Time (ns),970RMSD (Å),239RMSD (Å),Substrate,14475 RMSD (Å)
22.62,2.17339,2.45616,1.95024,1.98251
22.63,2.20394,2.63678,1.94603,1.97504
22.64,2.17127,2.55392,1.99347,1.8919
22.65,2.1708,2.56767,1.9644,1.89341
22.66,2.14741,2.57654,1.95679,1.90632
22.67,2.13859,2.47506,1.87396,1.88711
22.68,2.20252,2.55039,1.80629,1.76891
22.69,2.19734,2.48939,1.90632,1.81369
22.7,2.22803,2.54719,1.92992,1.75993
22.71,2.24052,2.56547,1.92726,1.79965
22.72,2.23032,2.50439,1.79948,1.68853
22.73,2.14884,2.53273,1.96713,1.76462
22.74,2.25359,2.56909,1.95906,1.75924
22.75,2.22196,2.61018,1.851,1.77275
22.76,2.2562,2.65709,1.90843,1.77571
22.77,2.25871,2.73707,1.85646,1.83238
22.78,2.289,2.67795,1.87535,1.87395
22.79,2.29199,2.74429,1.90537,1.77205
22.8,2.30258,2.79122,1.89527,1.78135
22.81,2.23775,2.81221,1.88514,1.81365
22.82,2.23621,2.88265,1.84255,1.8138
22.83,2.29578,2.93563,1.8562,1.77116
22.84,2.27261,2.8791,1.77803,1.82859
22.85,2.15901,2.87083,1.83842,1.85136
22.86,2.19995,2.90357,1.80779,1.77055
22.87,2.20742,2.78729,1.74744,1.8167
22.88,2.1861,2.60708,1.85192,1.81982
22.89,2.17926,2.51612,1.79883,1.85516
22.9,2.21912,2.76116,1.80057,1.90695
22.91,2.18169,2.67905,1.73707,1.88382
22.92,2.18165,2.65881,1.72388,1.83158
22.93,2.14705,2.68382,1.79555,1.86008
22.94,2.16708,2.68794,1.81068,1.77183
22.95,2.21714,2.68758,1.87108,1.75816
22.96,2.13582,2.76062,1.87922,1.83171
22.97,2.14896,2.76997,1.91049,1.82632
22.98,2.22539,2.73887,1.77236,1.86442
22.99,2.23002,2.77181,1.78824,1.83492
23,2.24956,2.72525,1.84364,1.83826
23.01,2.2569,2.79153,1.71933,1.80916
23.02,2.16648,2.83047,1.80695,1.85023
23.03,2.20688,2.82725,1.75337,1.92648
23.04,2.15055,2.72277,1.70515,1.80581
23.05,2.10027,2.71863,1.71193,1.85009
23.06,2.12218,2.74787,1.76379,1.86423
23.07,2.15087,2.70525,1.79536,1.87617
23.08,2.1399,2.75522,1.82128,1.9302
23.09,2.07025,2.62018,1.73446,1.80025
23.1,2.14677,2.52139,1.75662,1.85324
23.11,2.19768,2.58526,1.74017,1.81289
23.12,2.20018,2.48136,1.81381,1.9167
23.13,2.21148,2.58322,1.79661,1.88797
23.14,2.13444,2.70918,1.76187,1.82795
23.15,2.23467,2.66418,1.80926,1.84817
23.16,2.23709,2.69228,1.74263,1.93902
23.17,2.22899,2.63938,1.75406,1.87855
23.18,2.17712,2.58936,1.78296,1.8638
23.19,2.25237,2.63059,1.79432,1.83158
23.2,2.21976,2.57875,1.84712,1.83588
23.21,2.21868,2.61738,1.86255,1.82339
23.22,2.22127,2.62907,1.80862,1.78747
23.23,2.22416,2.7767,1.74157,1.8777
23.24,2.24265,2.66055,1.8274,1.85637
23.25,2.1908,2.58216,1.83229,1.83878
23.26,2.18246,2.6529,1.74804,1.90808
23.27,2.15595,2.72082,1.76105,1.87529
23.28,2.13729,2.58131,1.69029,1.89703
23.29,2.19331,2.72106,1.74906,1.91028
23.3,2.16786,2.70726,1.83287,1.84488
23.31,2.04643,2.73821,1.74226,1.87509
23.32,2.10877,2.71924,1.7529,1.85854
23.33,2.15889,2.60088,1.76607,1.83468
23.34,2.07526,2.56975,1.77679,1.87392
23.35,2.03329,2.63986,1.79681,1.8465
23.36,2.10466,2.69858,1.82633,1.87126
23.37,2.197,2.69221,1.84119,1.93806
23.38,2.04013,2.67862,1.8997,1.93102
23.39,2.03866,2.66001,1.87229,1.96214
23.4,2.08706,2.5868,1.86019,1.99478
23.41,2.15284,2.63271,1.90766,1.89582
23.42,2.11919,2.56105,1.85819,1.87207
23.43,2.10829,2.53155,1.8713,1.93325
23.44,2.14228,2.58242,1.834,1.9589
23.45,2.09211,2.71959,1.8343,1.95829
23.46,2.0961,2.58133,1.79699,1.99199
23.47,2.15041,2.45426,1.88083,1.99308
23.48,2.13729,2.60259,1.86723,1.88322
23.49,2.23168,2.75045,1.80144,1.90721
23.5,2.23056,2.75155,1.92777,1.83476
23.51,2.20128,2.7019,1.88004,1.88811
23.52,2.17757,2.69904,1.86369,1.91565
23.53,2.14774,2.66412,1.9491,1.98808
23.54,2.20134,2.5742,1.90234,1.90937
23.55,2.15413,2.48413,1.84085,1.88868
23.56,2.16577,2.62672,1.8666,1.93989
23.57,2.17847,2.5905,1.82259,1.91954
23.58,2.27384,2.63846,1.79691,1.94166
23.59,2.27568,2.69221,1.75113,1.79974
23.6,2.29334,2.58952,1.90452,1.76519
23.61,2.2529,2.5859,1.86483,1.88106
23.62,2.29489,2.54988,1.82744,1.87051
23.63,2.26554,2.64993,1.75334,1.84048
23.64,2.22839,2.75502,1.79113,1.87205
23.65,2.28754,2.73695,1.86976,1.92243
23.66,2.22826,2.82194,1.8922,1.93878
23.67,2.29782,2.78056,1.86064,1.92913
23.68,2.2357,2.6351,1.77496,1.98719
23.69,2.27355,2.69742,1.75941,1.95723
23.7,2.32817,2.4969,1.74127,1.99523
23.71,2.26024,2.68753,1.79952,1.98047
23.72,2.28044,2.52537,1.78127,1.94023
23.73,2.17623,2.53151,1.84568,1.97425
23.74,2.12239,2.53229,1.83127,1.89688
23.75,2.18518,2.62302,1.86757,1.78948
23.76,2.19941,2.41335,1.80389,1.84782
23.77,2.1583,2.49402,1.83826,1.89415
23.78,2.16783,2.40114,1.83739,1.80941
23.79,2.18524,2.50639,1.84836,1.83848
23.8,2.18053,2.6009,2.00693,1.93881
23.81,2.20415,2.55405,1.91903,1.90321
23.82,2.22968,2.43552,1.91585,1.86019
23.83,2.24849,2.57328,1.90974,1.79599
23.84,2.1933,2.58887,1.76784,1.86371
23.85,2.18861,2.61333,1.89004,1.85468
23.86,2.13936,2.60733,1.93434,1.85842
23.87,2.21721,2.56824,1.97433,1.77716
23.88,2.25861,2.67689,1.96969,1.81554
23.89,2.21847,2.56364,1.90421,1.84432
23.9,2.25782,2.68831,1.91424,1.84561
23.91,2.20878,2.65729,1.88947,1.81375
23.92,2.25482,2.6169,2.04148,1.88289
23.93,2.31563,2.62768,1.98721,1.84344
23.94,2.30082,2.68013,1.97627,1.89425
23.95,2.22792,2.62599,2.12206,1.84449
23.96,2.2526,2.64172,2.13867,1.80192
23.97,2.25882,2.70777,2.13036,1.93729
23.98,2.33794,2.69412,2.04111,1.86327
23.99,2.40793,2.71336,1.8868,1.88127
24,2.2376,2.67144,1.76147,1.89196
24.01,2.3221,2.71109,1.77807,1.86264
24.02,2.31293,2.70177,1.77216,1.80987
24.03,2.24339,2.71685,1.74832,1.97079
24.04,2.30248,2.75892,1.87199,2.00313
24.05,2.27273,2.70323,1.82037,1.86536
24.06,2.23534,2.72096,1.69601,1.90488
24.07,2.21787,2.69101,1.65782,1.84317
24.08,2.32995,2.54311,1.74511,1.85999
24.09,2.29652,2.46883,1.72076,1.8425
24.1,2.34914,2.44725,1.72362,1.75937
24.11,2.28409,2.57318,1.84567,1.82137
24.12,2.30809,2.69414,1.83953,1.89093
24.13,2.27222,2.6904,1.93215,1.76633
24.14,2.24398,2.75845,1.904,1.80617
24.15,2.19213,2.67522,1.7574,1.88834
24.16,2.21488,2.53238,1.726,1.81764
24.17,2.27746,2.65244,1.74563,1.8425
24.18,2.31251,2.56878,1.71686,1.91329
24.19,2.34309,2.52307,1.77225,1.93357
24.2,2.38293,2.60925,1.77294,1.9242
24.21,2.36561,2.56417,1.86012,1.9356
24.22,2.23927,2.5276,1.85658,1.83331
24.23,2.21554,2.40873,1.78342,1.78511
24.24,2.24598,2.38961,1.7812,1.85905
24.25,2.22711,2.35142,1.80931,1.92339
24.26,2.24397,2.47461,1.87695,1.93365
24.27,2.22485,2.3168,1.93683,1.88494
24.28,2.2446,2.43588,1.89835,1.85144
24.29,2.14513,2.45423,1.8422,1.83848
24.3,2.16877,2.33711,1.84699,1.74257
24.31,2.24536,2.35375,1.90506,1.80621
24.32,2.24169,2.37517,1.84635,1.86775
24.33,2.34715,2.45499,1.84903,1.85782
24.34,2.27302,2.44751,1.85544,1.78388
24.35,2.25705,2.36102,1.88489,1.88564
24.36,2.19795,2.33361,1.93728,1.8931
24.37,2.21659,2.48699,1.94554,1.85244
24.38,2.24418,2.48757,2.02812,1.92847
24.39,2.21109,2.49967,1.98015,1.86734
24.4,2.20162,2.55302,1.95712,1.87063
24.41,2.25977,2.4728,1.948,1.85491
24.42,2.24276,2.47449,1.84441,1.83086
24.43,2.1991,2.7276,1.86152,1.86274
24.44,2.23444,2.65258,1.81564,1.8993
24.45,2.20984,2.60047,1.81498,1.8974
24.46,2.25955,2.54687,1.92458,1.88589
24.47,2.25106,2.46754,1.85003,1.82443
24.48,2.28248,2.48306,1.87373,1.84068
24.49,2.2004,2.57109,1.76734,1.8624
24.5,2.21611,2.62134,1.90461,1.89759
24.51,2.23496,2.62859,1.932,1.87975
24.52,2.25407,2.61249,1.91702,1.82587
24.53,2.31314,2.66222,1.82099,1.87575
24.54,2.29424,2.62844,1.7837,1.88854
24.55,2.18806,2.67707,1.81943,1.96087
24.56,2.27463,2.56966,1.9005,2.03021
24.57,2.34696,2.5959,1.85601,1.94625
24.58,2.26351,2.55777,1.81503,1.99612
24.59,2.33544,2.6969,1.87547,1.87813
24.6,2.2507,2.77415,1.86821,1.89936
24.61,2.20382,2.7163,1.83446,1.89059
24.62,2.3055,2.6572,1.75841,1.89199
24.63,2.28047,2.65969,1.79489,1.89823
24.64,2.29172,2.6792,1.85707,1.87536
24.65,2.32219,2.67552,1.80433,1.88213
24.66,2.37296,2.62739,1.8815,1.85491
24.67,2.36404,2.65308,1.88741,1.86074
24.68,2.32931,2.56851,1.87239,1.90598
24.69,2.40364,2.62681,1.77248,1.85598
24.7,2.35437,2.5968,1.83921,1.86477
24.71,2.34871,2.49076,1.87052,1.8619
24.72,2.26155,2.49037,1.85835,1.91747
24.73,2.29633,2.5836,2.00028,1.87377
24.74,2.33681,2.5372,1.98614,1.8926
24.75,2.35958,2.5574,1.85327,1.95145
24.76,2.28852,2.61687,1.85388,1.87632
24.77,2.33381,2.53877,1.80489,1.87922
24.78,2.2505,2.59961,1.82545,1.91879
24.79,2.28161,2.59977,1.85301,1.92691
24.8,2.22052,2.62771,1.85798,1.94664
24.81,2.26848,2.55344,1.8724,1.97832
24.82,2.28014,2.54905,1.89474,1.99911
24.83,2.23783,2.49182,1.95664,1.9764
24.84,2.25391,2.46426,1.92093,1.98441
24.85,2.2502,2.57203,1.88608,1.98283
24.86,2.29122,2.60347,1.82139,1.94159
24.87,2.27792,2.5655,1.82915,1.95507
24.88,2.29554,2.58923,1.85958,2.01697
24.89,2.28346,2.55926,1.93944,1.91427
24.9,2.32923,2.61466,1.97876,1.90242
24.91,2.36262,2.71914,1.96323,1.97881
24.92,2.25754,2.82418,1.9713,1.97104
24.93,2.23793,2.75169,1.94427,1.98713
24.94,2.31891,2.75955,2.01645,1.97296
24.95,2.26174,2.67968,1.87948,1.93502
24.96,2.26156,2.70253,1.90299,1.92293
24.97,2.30625,2.76987,1.89915,1.93691
24.98,2.27265,2.79438,1.95614,1.90672
24.99,2.342,2.66985,1.91298,1.88346
25,2.37916,2.56578,1.93356,1.95802
25.01,2.33215,2.67534,1.90199,1.94291
25.02,2.36144,2.67564,2.02874,1.93972
25.03,2.31933,2.73342,1.88723,1.90951
25.04,2.25244,2.49261,1.97022,2.04624
25.05,2.30858,2.53498,2.06435,1.98815
25.06,2.35714,2.59917,2.08522,1.99989
25.07,2.26145,2.56768,1.95937,1.94872
25.08,2.27584,2.56658,1.98561,1.95305
25.09,2.34277,2.61288,2.00576,1.89036
25.1,2.36373,2.5398,1.97988,1.93059
25.11,2.39181,2.6725,1.96272,1.9302
25.12,2.21208,2.59289,2.03461,1.91212
25.13,2.21689,2.54101,2.19383,1.85675
25.14,2.2503,2.54049,2.01372,1.91283
25.15,2.20829,2.52503,2.0675,1.95916
25.16,2.40635,2.51131,1.96998,1.94279
25.17,2.34532,2.60702,2.06706,1.95244
25.18,2.28978,2.51779,2.01426,2.0392
25.19,2.28021,2.53331,2.07388,1.99617
25.2,2.26491,2.62879,2.00877,1.99714
25.21,2.20757,2.61233,2.0648,2.01973
25.22,2.24881,2.49242,2.03239,1.96752
25.23,2.19993,2.64856,2.05411,1.91459
25.24,2.24365,2.56421,1.9832,1.98169
25.25,2.21971,2.41041,1.93621,1.98631
25.26,2.231,2.33924,2.02528,1.9573
25.27,2.28909,2.33971,1.92125,1.94729
25.28,2.23859,2.4533,1.94811,1.95911
25.29,2.25371,2.51452,1.98603,1.90411
25.3,2.32735,2.53995,1.96006,1.92473
25.31,2.33996,2.59551,1.9233,1.89693
25.32,2.27269,2.5224,1.97194,1.95068
25.33,2.36854,2.6223,1.92036,1.90195
25.34,2.25144,2.61987,1.99822,1.89725
25.35,2.29236,2.56509,1.89129,1.9046
25.36,2.38142,2.56504,1.97995,1.87781
25.37,2.39526,2.42179,1.93994,1.8487
25.38,2.38294,2.37622,1.81988,1.86009
25.39,2.25835,2.34164,1.91712,1.96255
25.4,2.28629,2.45254,1.94768,1.95177
25.41,2.2487,2.44485,1.92739,1.94757
25.42,2.18179,2.44115,1.91012,1.99618
25.43,2.20144,2.40054,1.95721,1.94819
25.44,2.29202,2.35907,1.88828,2.03384
25.45,2.25015,2.48172,1.783,1.96553
25.46,2.22016,2.42163,1.84978,1.97523
25.47,2.33064,2.42865,1.85033,1.89022
25.48,2.29912,2.52098,1.86925,1.87149
25.49,2.37216,2.422,1.92775,1.9817
25.5,2.35905,2.45398,1.90234,1.89671
25.51,2.33766,2.53784,1.85679,1.87094
25.52,2.34056,2.56695,1.86261,1.91231
25.53,2.3329,2.46114,1.80256,1.93432
25.54,2.26207,2.40182,1.90631,1.95758
25.55,2.27473,2.56841,1.83547,1.8884
25.56,2.33578,2.52061,1.80527,1.93391
25.57,2.30137,2.55347,1.92413,1.88547
25.58,2.27474,2.48958,1.88789,1.85544
25.59,2.3241,2.50252,1.87948,1.94569
25.6,2.27605,2.49921,1.81797,1.9186
25.61,2.23134,2.44483,1.81467,1.95532
25.62,2.30653,2.35399,1.86105,1.88081
25.63,2.26983,2.36592,1.79815,1.94272
25.64,2.26663,2.3575,1.75723,1.98112
25.65,2.25231,2.26665,1.81999,1.92964
25.66,2.33552,2.43863,1.75017,2.03006
25.67,2.29428,2.58759,1.81076,1.92724
25.68,2.24476,2.4767,1.87971,1.98334
25.69,2.33448,2.5354,1.82206,1.87306
25.7,2.32361,2.56153,1.81212,1.87839
25.71,2.30198,2.67865,1.8465,1.83169
25.72,2.36576,2.64438,1.75825,1.90023
25.73,2.33362,2.41029,1.82491,1.92506
25.74,2.32898,2.45868,1.84834,1.91061
25.75,2.2642,2.50657,1.8031,1.87617
25.76,2.25478,2.46463,1.81623,1.93509
25.77,2.34022,2.33053,1.83676,1.98836
25.78,2.28949,2.36327,1.83875,1.94186
25.79,2.39513,2.32155,1.71364,1.95763
25.8,2.3299,2.47401,1.74536,1.94087
25.81,2.32029,2.52895,1.78084,1.95822
25.82,2.22468,2.57543,1.82891,1.9492
25.83,2.25979,2.53824,1.79824,1.96566
25.84,2.2885,2.58889,1.78247,1.97816
25.85,2.32412,2.60487,1.72881,1.96747
25.86,2.26488,2.56697,1.7208,1.98526
25.87,2.2015,2.6568,1.73048,1.94108
25.88,2.16451,2.60565,1.7176,1.94415
25.89,2.16303,2.57109,1.78933,1.92932
25.9,2.18502,2.65109,1.84593,1.9285
25.91,2.16877,2.54987,1.86773,1.97802
25.92,2.29325,2.59799,1.76938,1.95973
25.93,2.28922,2.52736,1.73575,1.96797
25.94,2.30013,2.61912,1.79086,1.90141
25.95,2.22084,2.57093,1.8188,1.94145
25.96,2.19011,2.39878,1.77662,2.00147
25.97,2.24463,2.40042,1.86195,1.92735
25.98,2.26009,2.46697,1.88157,1.96943
25.99,2.23854,2.38933,1.9112,1.88658
26,2.16146,2.50712,1.85453,1.98118
26.01,2.20609,2.53359,1.90369,2.05686
26.02,2.18547,2.65516,1.89912,1.98314
26.03,2.14866,2.57074,1.82436,1.97485
26.04,2.21249,2.56916,1.84607,1.98651
26.05,2.21487,2.55858,1.83105,2.00743
26.06,2.12061,2.51614,1.80361,1.96887
26.07,2.1977,2.62671,1.81051,1.9519
26.08,2.19171,2.57235,1.83361,2.03697
26.09,2.20219,2.54121,1.90003,1.9635
26.1,2.19674,2.6631,1.94728,1.8527
26.11,2.19274,2.6043,1.90888,1.98315
26.12,2.20845,2.51096,1.88959,1.8806
26.13,2.26664,2.51388,1.93784,1.91284
26.14,2.16104,2.47629,1.93691,1.9524
26.15,2.27068,2.51443,1.94606,1.99492
26.16,2.246,2.47013,1.94211,1.98661
26.17,2.28611,2.3999,1.85509,1.95012
26.18,2.23337,2.45729,1.85359,1.91898
26.19,2.32022,2.43957,1.88733,1.96033
26.2,2.15609,2.48813,1.92456,1.96568
26.21,2.19886,2.41247,2.00768,1.93757
26.22,2.1935,2.50527,1.9273,1.94413
26.23,2.20454,2.43663,1.89846,1.94461
26.24,2.12011,2.40454,1.88491,1.97463
26.25,2.19351,2.34774,1.90117,1.94215
26.26,2.26642,2.34072,1.92394,2.003
26.27,2.23218,2.36489,1.86694,2.00202
26.28,2.3136,2.36001,1.94727,1.97761
26.29,2.43762,2.409,1.96773,1.94172
26.3,2.30372,2.41545,1.95438,1.9663
26.31,2.34515,2.38728,2.05003,1.98691
26.32,2.31925,2.35665,1.95771,2.01873
26.33,2.36533,2.35703,1.91417,1.95353
26.34,2.35981,2.34867,1.88504,1.96351
26.35,2.31354,2.30267,1.88555,1.8909
26.36,2.3255,2.31434,1.93819,2.03229
26.37,2.36543,2.33868,1.97771,1.94251
26.38,2.34897,2.43012,1.99424,1.9363
26.39,2.40906,2.38989,2.11244,1.98726
26.4,2.40556,2.27186,2.09483,1.91974
26.41,2.39722,2.33155,2.09069,1.99432
26.42,2.44022,2.2924,1.96333,1.99416
26.43,2.41809,2.33289,1.91623,1.95346
26.44,2.4715,2.3146,2.00143,1.97565
26.45,2.46209,2.31224,2.03505,1.95209
26.46,2.45122,2.30488,2.07699,1.95602
26.47,2.3196,2.39749,2.04948,1.9731
26.48,2.43219,2.4595,2.11475,2.01261
26.49,2.43753,2.46307,2.1296,1.97669
26.5,2.45578,2.54761,2.12005,2.05527
26.51,2.41701,2.57964,2.07333,1.98086
26.52,2.49982,2.45608,2.1119,1.94056
26.53,2.34818,2.4849,2.03088,1.95468
26.54,2.39088,2.45056,2.08367,1.97201
26.55,2.3668,2.51245,2.15472,1.93265
26.56,2.41778,2.41282,2.11152,1.95806
26.57,2.40392,2.29709,2.12912,2.01626
26.58,2.34664,2.33411,2.16841,1.98001
26.59,2.29437,2.322,1.99294,1.91793
26.6,2.30529,2.26008,2.15677,1.86468
26.61,2.28698,2.35869,2.01738,1.87667
26.62,2.40331,2.34551,2.12433,1.8743
26.63,2.40318,2.44256,2.05964,1.927
26.64,2.36105,2.39363,2.01785,1.9443
26.65,2.36528,2.42199,2.03514,1.87628
26.66,2.35617,2.37961,2.10808,1.99605
26.67,2.36288,2.47941,2.11537,1.99468
26.68,2.38979,2.45787,2.11829,1.99224
26.69,2.4104,2.40061,2.22191,1.93819
26.7,2.28724,2.31321,2.21402,1.88526
26.71,2.33104,2.38368,2.24415,1.9453
26.72,2.41723,2.41792,2.20898,1.96
26.73,2.39471,2.41437,2.27421,1.9109
26.74,2.38712,2.38066,2.21294,1.91394
26.75,2.36994,2.33271,2.17766,1.86997
26.76,2.31747,2.38771,2.1796,1.94004
26.77,2.26403,2.46724,2.28146,1.96264
26.78,2.34642,2.38105,2.20968,1.92265
26.79,2.30338,2.48235,2.21058,1.95645
26.8,2.36211,2.42436,2.25064,1.9459
26.81,2.37097,2.39974,2.2459,1.98901
26.82,2.31456,2.41076,2.25381,1.94513
26.83,2.29528,2.43112,2.29431,1.90668
26.84,2.34553,2.48507,2.35007,1.96151
26.85,2.38426,2.55916,2.23399,1.9495
26.86,2.35112,2.3695,2.30394,1.97351
26.87,2.4324,2.37575,2.14552,1.90912
26.88,2.40859,2.36117,2.11128,1.97424
26.89,2.41097,2.40227,2.09672,1.86662
26.9,2.37931,2.45848,2.14342,1.83628
26.91,2.35847,2.48137,2.24827,1.88301
26.92,2.28654,2.37073,2.19566,1.86004
26.93,2.34663,2.33653,2.1719,1.86496
26.94,2.415,2.39731,2.15213,1.86548
26.95,2.39574,2.41274,2.19753,1.8858
26.96,2.3008,2.303,2.20436,1.82723
26.97,2.37365,2.247,2.16321,1.863
26.98,2.3419,2.2138,2.1935,1.88296
26.99,2.42066,2.31569,2.19394,1.85691
27,2.38626,2.38525,2.32782,1.90641
27.01,2.31506,2.31909,2.26694,1.91667
27.02,2.42069,2.40546,2.22177,1.81307
27.03,2.38059,2.39468,2.27061,1.86753
27.04,2.34581,2.29703,2.24213,1.85969
27.05,2.37635,2.2709,2.22591,1.88103
27.06,2.36584,2.22621,2.21695,1.84543
27.07,2.267,2.28799,2.28901,1.8084
27.08,2.30039,2.29486,2.21738,1.88963
27.09,2.26212,2.29665,2.19394,1.83075
27.1,2.3178,2.2713,2.16781,1.85503
27.11,2.26686,2.37519,2.08203,1.81764
27.12,2.24808,2.34143,2.14055,1.85369
27.13,2.29808,2.32289,2.20261,1.85132
27.14,2.27862,2.4131,2.19214,1.91958
27.15,2.33896,2.38558,2.22331,1.8579
27.16,2.36267,2.29925,2.2065,1.81299
27.17,2.30333,2.30635,2.16531,1.8132
27.18,2.41786,2.3691,2.14821,1.8209
27.19,2.37578,2.27508,2.18205,1.86449
27.2,2.31147,2.38915,2.20709,1.85392
27.21,2.30893,2.48217,2.21509,1.82943
27.22,2.32095,2.61879,2.19991,1.85304
27.23,2.34245,2.55338,2.24233,1.87953
27.24,2.29184,2.49787,2.28373,1.84959
27.25,2.24146,2.43181,2.14009,1.86903
27.26,2.30134,2.26876,2.20872,1.95541
27.27,2.37237,2.3176,2.19191,1.86497
27.28,2.33962,2.34043,2.17259,1.90049
27.29,2.39676,2.22893,2.18542,1.81207
27.3,2.26933,2.36791,2.16596,1.86106
27.31,2.33447,2.32544,2.17718,1.89872
27.32,2.25027,2.4396,2.15027,1.905
27.33,2.28375,2.37997,2.18546,1.88117
27.34,2.30869,2.40799,2.16843,1.91664
27.35,2.34911,2.42172,2.24647,1.84034
27.36,2.40723,2.39295,2.24707,1.9414
27.37,2.34484,2.35455,2.16163,1.91258
27.38,2.36974,2.3147,2.23857,1.90421
27.39,2.27763,2.29482,2.20092,1.92328
27.4,2.28628,2.39509,2.22386,1.83604
27.41,2.28989,2.21645,2.21232,1.81707
27.42,2.31206,2.2981,2.11689,1.82782
27.43,2.34915,2.37532,2.22477,1.77023
27.44,2.35363,2.31192,2.20518,1.88473
27.45,2.34604,2.30751,2.23952,1.88503
27.46,2.30407,2.4192,2.15118,1.87417
27.47,2.35602,2.34125,2.20856,1.88166
27.48,2.36752,2.35637,2.188,1.85811
27.49,2.39614,2.32991,2.17508,1.82419
27.5,2.4786,2.37075,2.17161,1.93957
27.51,2.42334,2.35978,2.16204,1.85771
27.52,2.48585,2.35673,2.18171,1.90663
27.53,2.30719,2.39053,2.22103,1.94065
27.54,2.32949,2.47809,2.22415,1.86135
27.55,2.31913,2.35255,2.23844,1.86528
27.56,2.32681,2.33571,2.24957,1.84902
27.57,2.35254,2.34708,2.235,1.9227
27.58,2.35725,2.4872,2.24613,1.90754
27.59,2.31279,2.57179,2.25448,1.9246
27.6,2.3396,2.5288,2.24787,1.86484
27.61,2.37971,2.48555,2.18974,1.9415
27.62,2.33367,2.37764,2.26023,1.93572
27.63,2.38042,2.51175,2.24007,1.93982
27.64,2.29313,2.52337,2.18126,1.89648
27.65,2.33113,2.52515,2.25033,1.88587
27.66,2.35402,2.3849,2.27866,1.96365
27.67,2.40278,2.42346,2.13974,1.90874
27.68,2.38524,2.37979,2.19893,1.90565
27.69,2.41794,2.30532,2.184,1.87089
27.7,2.36743,2.41116,2.17703,1.87336
27.71,2.41026,2.39333,2.23227,1.91013
27.72,2.44946,2.43286,2.27524,1.87732
27.73,2.393,2.42564,2.18094,1.93938
27.74,2.40746,2.4627,2.25968,1.87998
27.75,2.3987,2.47194,2.21918,1.89639
27.76,2.34787,2.42034,2.21706,1.92945
27.77,2.30568,2.44862,2.19458,1.86565
27.78,2.37015,2.39,2.20568,1.90587
27.79,2.34167,2.37629,2.22231,1.91103
27.8,2.36129,2.43748,2.18905,1.87892
27.81,2.4268,2.30803,2.16003,1.94989
27.82,2.42981,2.40191,2.06095,1.91028
27.83,2.40291,2.34984,2.11752,1.93181
27.84,2.39627,2.36111,2.16069,1.84009
27.85,2.34389,2.4555,2.23408,1.84582
27.86,2.37683,2.46071,2.24591,1.90872
27.87,2.36018,2.45689,2.18009,1.92319
27.88,2.36937,2.46183,2.27502,1.87963
27.89,2.40732,2.44551,2.13744,1.90858
27.9,2.41483,2.45301,2.21458,1.84999
27.91,2.51757,2.49236,2.24148,1.87813
27.92,2.44812,2.43644,2.18476,1.80083
27.93,2.42008,2.46245,2.13739,1.86697
27.94,2.46892,2.48642,2.16358,1.83726
27.95,2.41743,2.46632,2.13465,1.88646
27.96,2.4548,2.45288,2.14964,1.87837
27.97,2.4478,2.40216,2.12671,1.82871
27.98,2.46721,2.34446,2.10802,1.87682
27.99,2.4386,2.3582,2.18524,1.87193
28,2.3492,2.28576,2.24596,1.94521
28.01,2.38574,2.34451,2.21265,2.05588
28.02,2.35913,2.32199,2.17079,1.99224
28.03,2.34161,2.39534,2.269,2.00953
28.04,2.40894,2.42761,2.15523,1.85555
28.05,2.45022,2.49354,2.20999,1.86054
28.06,2.38809,2.4372,2.13822,1.92317
28.07,2.34128,2.49736,2.17386,1.94817
28.08,2.42598,2.42592,2.28635,1.99913
28.09,2.4143,2.44962,2.23584,1.98753
28.1,2.37651,2.48155,2.15448,1.84368
28.11,2.46629,2.50142,2.10658,1.94509
28.12,2.47751,2.5463,2.21734,1.88525
28.13,2.41702,2.49965,2.2585,1.93474
28.14,2.39207,2.40631,2.29206,1.93379
28.15,2.39273,2.53162,2.21591,1.95197
28.16,2.39623,2.39002,2.20098,1.89415
28.17,2.37121,2.54521,2.16983,1.958
28.18,2.31984,2.52499,2.25084,1.95523
28.19,2.33512,2.54245,2.1859,1.86461
28.2,2.38414,2.47406,2.20378,1.94515
28.21,2.30763,2.45664,2.15441,1.88905
28.22,2.31508,2.50528,2.11294,1.95734
28.23,2.35858,2.4991,2.16891,1.922
28.24,2.3286,2.43154,2.1899,1.94617
28.25,2.35903,2.54372,2.22444,1.94037
28.26,2.37728,2.66172,2.17242,1.89765
28.27,2.47114,2.50908,2.1644,1.99289
28.28,2.42887,2.49708,2.18434,2.00023
28.29,2.4386,2.42611,2.11974,1.90893
28.3,2.43242,2.58989,2.09345,1.88065
28.31,2.36298,2.57344,2.1646,1.88125
28.32,2.32235,2.55015,2.2492,1.8667
28.33,2.34072,2.54982,2.22783,1.99014
28.34,2.3651,2.54126,2.17157,1.94901
28.35,2.38345,2.72014,2.1954,1.88022
28.36,2.27113,2.56317,2.22898,1.81895
28.37,2.27792,2.59942,2.2285,1.88853
28.38,2.35176,2.51307,2.20948,1.95855
28.39,2.28333,2.58072,2.35121,1.90869
28.4,2.38491,2.58227,2.2633,1.89852
28.41,2.36837,2.61767,2.20162,1.86003
28.42,2.36875,2.53371,2.23707,1.94534
28.43,2.33479,2.48361,2.24274,1.89072
28.44,2.28116,2.50362,2.28817,1.86841
