"Time (ns)","RMSD (Å)"
3.55,2.37448
3.56,2.27593
3.57,2.34605
3.58,2.20103
3.59,2.27356
3.6,2.27972
3.61,2.16006
3.62,2.15063
3.63,2.18086
3.64,2.29343
3.65,2.21799
3.66,2.19774
3.67,1.98505
3.68,2.11328
3.69,2.10429
3.7,2.08156
3.71,2.10598
3.72,2.10287
3.73,2.11521
3.74,2.0276
3.75,2.02777
3.76,1.9872
3.77,2.00637
3.78,2.07749
3.79,2.26829
3.8,2.06588
3.81,2.15002
3.82,2.10422
3.83,2.06145
3.84,2.15936
3.85,2.20454
3.86,2.19716
3.87,2.09613
3.88,2.14434
3.89,2.19862
3.9,2.16826
3.91,2.15692
3.92,2.09538
3.93,2.17828
3.94,2.15824
3.95,2.08026
3.96,2.19037
3.97,2.15208
3.98,2.09218
3.99,2.01468
4,2.13066
4.01,2.04286
4.02,2.15217
4.03,2.2375
4.04,2.15715
4.05,2.0396
4.06,1.97458
4.07,2.02155
4.08,1.94205
4.09,2.01181
4.1,1.99497
4.11,2.03881
4.12,1.96523
4.13,1.92127
4.14,1.96747
4.15,2.01743
4.16,2.00496
4.17,1.98865
4.18,1.98537
4.19,1.87381
4.2,2.0615
4.21,2.0584
4.22,2.06502
4.23,2.03327
4.24,1.98207
4.25,1.98664
4.26,2.06021
4.27,2.0616
4.28,1.95336
4.29,1.92787
4.3,1.98187
4.31,1.895
4.32,1.87369
4.33,1.94301
4.34,2.00991
4.35,1.95613
4.36,2.00713
4.37,2.01781
4.38,2.09316
4.39,2.03332
4.4,2.05878
4.41,1.96895
4.42,1.96625
4.43,1.96625
4.44,1.86449
4.45,2.08508
4.46,1.97752
4.47,1.96569
4.48,1.9782
4.49,2.07011
4.5,2.14571
4.51,2.0606
4.52,2.16434
4.53,2.08876
4.54,2.03782
4.55,1.89733
4.56,1.89524
4.57,1.96508
4.58,1.97457
4.59,1.91058
4.6,1.95507
4.61,2.04864
4.62,1.94751
4.63,1.98266
4.64,1.98269
4.65,2.04236
4.66,2.11446
4.67,2.02535
4.68,2.04854
4.69,2.03108
4.7,2.15151
4.71,2.14436
4.72,2.01579
4.73,2.17545
4.74,2.20792
4.75,2.10887
4.76,2.0362
4.77,2.10448
4.78,2.113
4.79,2.06354
4.8,2.0716
4.81,2.06115
4.82,1.98955
4.83,2.02496
4.84,1.96618
4.85,2.04683
4.86,2.13656
4.87,2.19906
4.88,2.04137
4.89,2.07262
4.9,2.03385
4.91,2.08807
4.92,2.0828
4.93,2.06093
4.94,2.15184
4.95,2.1163
4.96,2.09625
4.97,2.02257
4.98,2.04354
4.99,2.06392
5,2.05607
5.01,2.07446
5.02,2.03133
5.03,1.95434
5.04,1.93133
5.05,2.01125
5.06,1.96135
5.07,1.98429
5.08,2.03443
5.09,1.94001
5.1,1.89043
5.11,1.93231
5.12,1.89733
5.13,1.93786
5.14,2.01437
5.15,1.96034
5.16,1.93319
5.17,1.84698
5.18,1.95339
5.19,1.94454
5.2,2.0644
5.21,2.11203
5.22,2.18122
5.23,2.11039
5.24,2.01217
5.25,2.0587
5.26,2.11718
5.27,1.99793
5.28,2.14198
5.29,2.06414
5.3,2.04518
5.31,2.06479
5.32,2.02916
5.33,2.09459
5.34,1.95193
5.35,2.05
5.36,2.09856
5.37,1.97154
5.38,2.02807
5.39,2.04106
5.4,2.07499
5.41,2.09176
5.42,2.21813
5.43,2.1915
5.44,2.09608
5.45,2.18233
5.46,2.13942
5.47,2.02341
5.48,2.05169
5.49,2.03868
5.5,2.08956
5.51,1.95752
5.52,2.05431
5.53,2.03094
5.54,2.0081
5.55,2.03408
5.56,2.16625
5.57,2.00872
5.58,2.01478
5.59,2.08074
5.6,2.02178
5.61,2.01279
5.62,2.14702
5.63,2.01442
5.64,2.07018
5.65,2.15622
5.66,2.1566
5.67,2.21351
5.68,2.01488
5.69,1.99542
5.7,2.00629
5.71,2.0832
5.72,2.10955
5.73,2.01087
5.74,2.1002
5.75,2.17072
5.76,2.08497
5.77,2.07672
5.78,2.12831
5.79,2.12146
5.8,2.09943
5.81,2.04016
5.82,2.12906
5.83,2.02236
5.84,1.96773
5.85,2.09384
5.86,2.00807
5.87,2.14446
5.88,2.01829
5.89,2.1602
5.9,2.23723
5.91,2.02386
5.92,2.15533
5.93,2.09511
5.94,2.20526
5.95,2.30011
5.96,2.28658
5.97,2.3142
5.98,2.20199
5.99,2.1297
6,2.15532
6.01,2.18711
6.02,2.14509
6.03,2.26492
6.04,2.19787
6.05,2.2268
6.06,2.39035
6.07,2.23675
6.08,2.42868
6.09,2.45567
6.1,2.56674
6.11,2.62106
6.12,2.40386
6.13,2.41986
6.14,2.20639
6.15,2.39396
6.16,2.50469
6.17,2.46747
6.18,2.49315
6.19,2.52627
6.2,2.49652
6.21,2.40318
6.22,2.26494
6.23,2.27161
6.24,2.24191
6.25,2.23759
6.26,2.29699
6.27,2.37013
6.28,2.44798
6.29,2.66816
6.3,2.52131
6.31,2.33861
6.32,2.24528
6.33,2.27836
6.34,2.28219
6.35,2.26988
6.36,2.16359
6.37,2.18675
6.38,2.10995
6.39,2.04186
6.4,2.08505
6.41,2.05403
6.42,2.13963
6.43,2.19809
6.44,2.15578
6.45,2.05232
6.46,1.97564
6.47,2.15449
6.48,2.14006
6.49,2.04623
6.5,2.08255
6.51,2.12631
6.52,2.12877
6.53,2.21545
6.54,2.15345
6.55,2.16127
6.56,2.11797
6.57,2.1038
6.58,1.96752
6.59,1.96648
6.6,1.97016
6.61,2.01408
6.62,1.98467
6.63,2.12363
6.64,2.0982
6.65,2.05763
6.66,2.18863
6.67,2.16394
6.68,2.13076
6.69,2.05159
6.7,2.15365
6.71,2.11973
6.72,2.07191
6.73,2.12458
6.74,2.10134
6.75,2.12517
6.76,2.1866
6.77,2.0862
6.78,2.12034
6.79,2.02348
6.8,2.11354
6.81,2.27707
6.82,2.29303
6.83,2.27355
6.84,2.25856
6.85,2.25796
6.86,2.36585
6.87,2.22977
6.88,2.31297
6.89,2.28048
6.9,2.2951
6.91,2.23781
6.92,2.27802
6.93,2.38505
6.94,2.28715
6.95,2.36316
6.96,2.17236
6.97,2.25106
6.98,2.15845
6.99,2.21281
7,2.31996
7.01,2.33268
7.02,2.20277
7.03,2.25867
7.04,2.17978
7.05,2.32483
7.06,2.28056
7.07,2.24885
7.08,2.27656
7.09,2.28703
7.1,2.31
7.11,2.23018
7.12,2.10221
7.13,2.11093
7.14,2.1318
7.15,2.11968
7.16,2.15087
7.17,2.16417
7.18,2.30443
7.19,2.34285
7.2,2.33279
7.21,2.37153
7.22,2.27178
7.23,2.29754
7.24,2.25252
7.25,2.2118
7.26,2.12967
7.27,2.17239
7.28,2.19644
7.29,2.18154
7.3,2.12656
7.31,2.17408
7.32,2.19585
7.33,2.15975
7.34,2.36843
7.35,2.21907
7.36,2.2751
7.37,2.3158
7.38,2.19405
7.39,2.21486
7.4,2.25484
7.41,2.27765
7.42,2.30974
7.43,2.24548
7.44,2.18257
7.45,2.34158
7.46,2.25904
7.47,2.31402
7.48,2.35767
7.49,2.25089
7.5,2.34597
7.51,2.43084
7.52,2.39672
7.53,2.36334
7.54,2.33074
7.55,2.31793
7.56,2.32039
