"Time (ns)","RMSD (Å)"
3.55,1.76364
3.56,1.81116
3.57,1.82068
3.58,1.79233
3.59,1.92922
3.6,1.83515
3.61,1.83879
3.62,1.81881
3.63,1.89145
3.64,1.83329
3.65,1.87806
3.66,1.82237
3.67,1.94065
3.68,1.89209
3.69,1.88581
3.7,2.04299
3.71,1.83191
3.72,1.93677
3.73,1.82641
3.74,1.81657
3.75,1.83839
3.76,1.84933
3.77,1.88722
3.78,1.80002
3.79,1.76882
3.8,1.8342
3.81,1.84608
3.82,1.74292
3.83,1.80215
3.84,1.95206
3.85,1.80245
3.86,1.86308
3.87,1.84431
3.88,1.73775
3.89,1.83913
3.9,1.74204
3.91,1.7138
3.92,1.76257
3.93,1.74248
3.94,1.68553
3.95,1.72007
3.96,1.62721
3.97,1.72795
3.98,1.76196
3.99,1.7357
4,1.78092
4.01,1.71374
4.02,1.66157
4.03,1.64576
4.04,1.59758
4.05,1.65282
4.06,1.73591
4.07,1.72788
4.08,1.664
4.09,1.73725
4.1,1.71066
4.11,1.63724
4.12,1.69253
4.13,1.67795
4.14,1.63711
4.15,1.72828
4.16,1.70436
4.17,1.73916
4.18,1.80688
4.19,1.83302
4.2,1.85183
4.21,1.77311
4.22,1.83422
4.23,1.76183
4.24,1.70874
4.25,1.7726
4.26,1.77605
4.27,1.72034
4.28,1.75173
4.29,1.74353
4.3,1.78296
4.31,1.78005
4.32,1.77684
4.33,1.79641
4.34,1.78778
4.35,1.92928
4.36,1.78954
4.37,1.91101
4.38,1.94505
4.39,1.917
4.4,1.98444
4.41,1.92865
4.42,1.96817
4.43,1.92193
4.44,1.86401
4.45,1.88898
4.46,1.92426
4.47,1.9165
4.48,1.91386
4.49,1.89958
4.5,1.85544
4.51,1.85773
4.52,1.87559
4.53,1.78018
4.54,1.78653
4.55,1.87494
4.56,1.74155
4.57,1.83496
4.58,1.84613
4.59,1.94458
4.6,1.89202
4.61,1.89804
4.62,1.80808
4.63,1.86704
4.64,1.94882
4.65,2.05025
4.66,2.03991
4.67,2.04024
4.68,2.09738
4.69,2.01052
4.7,1.92333
4.71,1.85864
4.72,1.86374
4.73,1.88698
4.74,1.92424
4.75,2.00726
4.76,1.85469
4.77,1.94553
4.78,1.95669
4.79,1.85108
4.8,1.89067
4.81,1.77777
4.82,1.87067
4.83,1.89776
4.84,1.97607
4.85,2.0211
4.86,1.93736
4.87,2.03065
4.88,1.97545
4.89,1.97136
4.9,1.81282
4.91,1.8598
4.92,1.81211
4.93,1.87513
4.94,1.85412
4.95,1.70991
4.96,1.90572
4.97,1.86259
4.98,1.82147
4.99,1.83887
5,1.86397
5.01,1.85113
5.02,1.82629
5.03,1.82801
5.04,1.88946
5.05,1.83671
5.06,1.7444
5.07,1.82021
5.08,1.8431
5.09,1.84452
5.1,1.88892
